county,original,decoded,status,final
Alcona,//duckduckgo.com/l/?uddg=https%3A%2F%2Fbeacon.schneidercorp.com%2F%3Fsite%3DAlconaCountyMI&rut=176f71b72305e8fb5b581224996b83b02c6d60edc2410ab00aeb67f7bb197dcf,https://beacon.schneidercorp.com/?site=AlconaCountyMI,403,https://beacon.schneidercorp.com/?site=AlconaCountyMI
Alger,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.countyoffice.org%2Fmi%2Dalger%2Dcounty%2Dgis%2Dmaps%2F&rut=1649e4c13332f0ad4094009aaa5ea245da56f1178af428f420af3f6658aad702,https://www.countyoffice.org/mi-alger-county-gis-maps/,403,https://www.countyoffice.org/mi-alger-county-gis-maps/
Allegan,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.allegancounty.org%2Fportal%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3D1df7bb10376c4aa58236914ac0680650&rut=22686455325fd2801ea610a552e4fca29640e86a8ebbb7942114a146ec61a37f,https://gis.allegancounty.org/portal/apps/webappviewer/index.html?id=1df7bb10376c4aa58236914ac0680650,200,https://gis.allegancounty.org/portal/apps/webappviewer/index.html?id=1df7bb10376c4aa58236914ac0680650
Alpena,//duckduckgo.com/l/?uddg=https%3A%2F%2Falpenacounty.org%2F240%2FEqualization%2DOffice&rut=b55d68d024176771a13981b5e85a492efe236afa3184fd86b86d69667682d5d1,https://alpenacounty.org/240/Equalization-Office,200,https://alpenacounty.org/240/Equalization-Office
Antrim,//duckduckgo.com/l/?uddg=https%3A%2F%2Fantrimcounty.maps.arcgis.com%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3D45d02244ef1b4e67ac47a4cd348d88b8&rut=fcff749a2d639f94f3a2b5d04f635bbf5e65033687782c3bcbd4e8b3e90155e7,https://antrimcounty.maps.arcgis.com/apps/webappviewer/index.html?id=45d02244ef1b4e67ac47a4cd348d88b8,200,https://antrimcounty.maps.arcgis.com/apps/webappviewer/index.html?id=45d02244ef1b4e67ac47a4cd348d88b8
Arenac,//duckduckgo.com/l/?uddg=https%3A%2F%2Fexperience.arcgis.com%2Fexperience%2F5789212c1fb946ebb83ca42b4478f5b8&rut=36a5f0a33924f9a388bf624ac69f08d61d3892b64226aba2e26efc6597a2f766,https://experience.arcgis.com/experience/5789212c1fb946ebb83ca42b4478f5b8,200,https://experience.arcgis.com/experience/5789212c1fb946ebb83ca42b4478f5b8
Baraga,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.countyoffice.org%2Fmi%2Dbaraga%2Dcounty%2Dgis%2Dmaps%2F&rut=bca0b343daf52433c6a11e02a91cb9f89e5ecf2a94e83409669dc6868af72bb8,https://www.countyoffice.org/mi-baraga-county-gis-maps/,403,https://www.countyoffice.org/mi-baraga-county-gis-maps/
Barry,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.barrycounty.org%2Fproperty_search%2Findex.php&rut=3abec65e645f49cf0781b815b75e71dc24c942e5b57da109ff564cd0057a37b2,https://www.barrycounty.org/property_search/index.php,200,https://www.barrycounty.org/property_search/index.php
Bay,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.baycountymi.gov%2Fdepartments%2Fgeographic_information_systems_(gis)%2Findex.php&rut=7db4116731c66ab46d05533ab8babf060de24cdaf114d25065df85022b866e14,https://www.baycountymi.gov/departments/geographic_information_systems_(gis)/index.php,200,https://www.baycountymi.gov/departments/geographic_information_systems_(gis)/index.php
Benzie,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.benzieco.gov%2Fgovernment%2Fequalization%2Findex.php&rut=92628eec943577b94d66145483f640b097829174230f9843e1ca7f0958f2ca6a,https://www.benzieco.gov/government/equalization/index.php,200,https://www.benzieco.gov/government/equalization/index.php
Berrien,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.berriencountymi.gov%2Fportal%2Fhome%2F&rut=45c8ab795cfd15a7558f06bc3230db5590dc2ed75e15be4d5376f1a6f45d2b31,https://gis.berriencountymi.gov/portal/home/,200,https://gis.berriencountymi.gov/portal/home/
Branch,//duckduckgo.com/l/?uddg=https%3A%2F%2Fbranchcounty.gov%2Fdepartments%2Fequalization%2Fgis%2Dmap%2Dviewer%2F&rut=aa403b15b45dd6c5bd9a5a116d6af5b4b4aa12457bac3341f3ca6b8de59a1176,https://branchcounty.gov/departments/equalization/gis-map-viewer/,403,https://branchcounty.gov/departments/equalization/gis-map-viewer/
Calhoun,//duckduckgo.com/l/?uddg=https%3A%2F%2Fmaps.calhouncountymi.gov%2F&rut=5d8cac28a57e585ddeb3cc902904ac222fcd82a66e95c1718a90eb21ceec606a,https://maps.calhouncountymi.gov/,200,https://maps.calhouncountymi.gov/
Cass,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.casscountymi.org%2F1345%2FGeographic%2DInformation%2DSystems&rut=cc265d3f18bfb4b09b3f526ccc1830580f2a68af0825b3c39d0e45b38c90c7d1,https://www.casscountymi.org/1345/Geographic-Information-Systems,200,https://www.casscountymi.org/1345/Geographic-Information-Systems
Charlevoix,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.charlevoixcounty.org%2Fonline_services%2Findex.php&rut=366fa1db25b15725ed18240d7977b3f2f3deb69a8e6148b364780582ed49fffa,https://www.charlevoixcounty.org/online_services/index.php,200,https://www.charlevoixcounty.org/online_services/index.php
Cheboygan,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cheboygancounty.net%2Fdepartments%2Dservices%2Fequalization%2Fgis%2F&rut=5cde0e398af1ab67fbe958aaf81cfd790f36a5ce7e087d4984f3712e455d80b1,https://www.cheboygancounty.net/departments-services/equalization/gis/,200,https://www.cheboygancounty.net/departments-services/equalization/gis/
Chippewa,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.chippewacountymi.gov%2F&rut=aed4821216c374812bc7789d847ff7d566b4a5639e2101ae0856690a0fc9a1c2,https://www.chippewacountymi.gov/,200,https://www.chippewacountymi.gov/
Clare,//duckduckgo.com/l/?uddg=https%3A%2F%2Fapp.fetchgis.com%2F%3FcurrentMap%3Dclare&rut=418d0e81d24fca5b38170d952d1fbd785740084a386b3c35a740fa3b9799b079,https://app.fetchgis.com/?currentMap=clare,200,https://app.fetchgis.com/?currentMap=clare
Clinton,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.clinton%2Dcounty.org%2F238%2FOnline%2DMapping&rut=b52ae0903f8c2ffb35e50f087f61ff9a8aaa877af97424ef2502d34720ad5684,https://www.clinton-county.org/238/Online-Mapping,200,https://www.clinton-county.org/238/Online-Mapping
Crawford,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.crawfordco.org%2Fonline%2Dservices%2F&rut=4c53886657da4dd77f3c65e268c5b22be28b7696208b2d4da213e2acec41de1f,https://www.crawfordco.org/online-services/,200,https://www.crawfordco.org/online-services/
Delta,//duckduckgo.com/l/?uddg=https%3A%2F%2Fcuppad.org%2Fmapping%2Dgis%2F&rut=62865b550310e7b821eec022c672a0525735c6aab56143b68fbab722095416ad,https://cuppad.org/mapping-gis/,200,https://cuppad.org/mapping-gis/
Dickinson,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.dickinsoncountymi.gov%2Fgovernment%2Fcounty_departments%2Fequalization.php&rut=d7e6b3c954cd01a73505a65d690c0a1b60d0f25012010d7f3fa4c0e7f64c7cfc,https://www.dickinsoncountymi.gov/government/county_departments/equalization.php,200,https://www.dickinsoncountymi.gov/government/county_departments/equalization.php
Eaton,//duckduckgo.com/l/?uddg=https%3A%2F%2Fecgis.maps.arcgis.com%2Fhome%2Findex.html&rut=249330730cf290b2697a638f30cf0253d6af25f6cdbd74ccc08c0b48bcf7aedc,https://ecgis.maps.arcgis.com/home/index.html,200,https://ecgis.maps.arcgis.com/home/index.html
Emmet,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.emmetcounty.org%2Fdepartments%2Fgis%2Findex.php&rut=989fd8a67dd71f218035f942b06712f36ccadbc213c4ed3f2689305bb2082db6,https://www.emmetcounty.org/departments/gis/index.php,200,https://www.emmetcounty.org/departments/gis/index.php
Genesee,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.geneseecountymi.gov%2Fdepartments%2Fgis%2Findex.php&rut=468523e1b4183c2cfb9fc7c98d9320747f5d9f1e83c99408a70da2d0d4d074e8,https://www.geneseecountymi.gov/departments/gis/index.php,200,https://www.geneseecountymi.gov/departments/gis/index.php
Gladwin,//duckduckgo.com/l/?uddg=https%3A%2F%2Fapp.fetchgis.com%2F%3FcurrentMap%3Dgladwin&rut=a55f0cea8eebc1a73adddc061174fd020fd1d1bce972f9f5f82f13aa0dd1fff7,https://app.fetchgis.com/?currentMap=gladwin,200,https://app.fetchgis.com/?currentMap=gladwin
Gogebic,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.gogebic.gov%2Fgovernment%2Fcounty_offices%2Fgis_map_system.php&rut=dc3e1fb042718f063ef8577fcb84b7fab5d05a5cd530d32b967e78ebc36b5726,https://www.gogebic.gov/government/county_offices/gis_map_system.php,200,https://www.gogebic.gov/government/county_offices/gis_map_system.php
Grand Traverse,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.gtcountymi.gov%2F551%2FParcel%2DInformation&rut=d338850cf9f27a9e3a21c363f58abb04f45c7c650b77f09905e9dbdbbabce3bd,https://www.gtcountymi.gov/551/Parcel-Information,200,https://www.gtcountymi.gov/551/Parcel-Information
Gratiot,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.gratiotmi.com%2F437%2FGeographic%2DInformation%2DServices%2DGIS&rut=35d1d1f997afabc5870978bea210186ce9436d19116743b3ad7953cf89d44ede,https://www.gratiotmi.com/437/Geographic-Information-Services-GIS,200,https://www.gratiotmi.com/437/Geographic-Information-Services-GIS
Hillsdale,//duckduckgo.com/l/?uddg=https%3A%2F%2Fhillsdalecounty.gov%2Findex.php%2Ftm%2Dgov%2Ftsm%2Dgov%2Deq%2Dland%2Fgis%2Donline%2Dmaps&rut=493b4216fea23456763e3db02cf989744aebd6fc62e13f9238a7d6bc166adbfd,https://hillsdalecounty.gov/index.php/tm-gov/tsm-gov-eq-land/gis-online-maps,200,https://hillsdalecounty.gov/index.php/tm-gov/tsm-gov-eq-land/gis-online-maps
Houghton,//duckduckgo.com/l/?uddg=https%3A%2F%2Fhoughtoncounty.maps.arcgis.com%2Fapps%2Fmapviewer%2Findex.html&rut=3b4d4079aea15e567362caf9d917b936318bc76fb5ce0952c32b48d15511bbfe,https://houghtoncounty.maps.arcgis.com/apps/mapviewer/index.html,200,https://houghtoncounty.maps.arcgis.com/apps/mapviewer/index.html
Huron,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.co.huron.mi.us%2Fgis&rut=5b605a6efb06e5cb50f2d2ef562677f0988ba05a16a7c62f4416b7a5b0d87fd7,https://www.co.huron.mi.us/gis,200,https://www.co.huron.mi.us/gis
Ingham,//duckduckgo.com/l/?uddg=https%3A%2F%2Fapp.fetchgis.com%2F%3FcurrentMap%3DIngham&rut=725251ade0c638bee211e6bef10b5b6c77c6bf8d88b6abf4f4e88dcbf07d5599,https://app.fetchgis.com/?currentMap=Ingham,200,https://app.fetchgis.com/?currentMap=Ingham
Ionia,//duckduckgo.com/l/?uddg=https%3A%2F%2Fioniacounty.maps.arcgis.com%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3D5580408d1a1145cebb561641a5c9895c&rut=665bd05cd68c2098fd75a08471d3a797ca74c3d99d074bb68393820889928c46,https://ioniacounty.maps.arcgis.com/apps/webappviewer/index.html?id=5580408d1a1145cebb561641a5c9895c,200,https://ioniacounty.maps.arcgis.com/apps/webappviewer/index.html?id=5580408d1a1145cebb561641a5c9895c
Iosco,//duckduckgo.com/l/?uddg=https%3A%2F%2Fiosco.net%2Fonline%2Dservices%2F&rut=a1113d2b580ab06f5fc963584021f882dec8f26a87076657c701bea75c8f7a11,https://iosco.net/online-services/,403,https://iosco.net/online-services/
Iron,//duckduckgo.com/l/?uddg=https%3A%2F%2Firongis.maps.arcgis.com%2F&rut=aa5d915355a6e1415c1b31adc48add322c67e2db5c0ff4b769dbc27250fb4e63,https://irongis.maps.arcgis.com/,200,https://irongis.maps.arcgis.com/home/index.html
Isabella,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.isabellacounty.org%2Fdepartments%2Fcommunity%2Ddevelopment%2Fgis%2Dmapping%2Finteractive%2Dgis%2Dmap%2F&rut=c8f480ed72db17fa9307ec6f619f06626b8755f7de051ae77061c3f900e4b79d,https://www.isabellacounty.org/departments/community-development/gis-mapping/interactive-gis-map/,200,https://www.isabellacounty.org/departments/community-development/gis-mapping/interactive-gis-map/
Jackson,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.mijackson.org%2FTaxViewer%2F&rut=6785b21a7cba4c520e82f62ebb15faa80e93a6e23ae6ae6ea6f32a189642654a,https://gis.mijackson.org/TaxViewer/,200,https://gis.mijackson.org/TaxViewer/
