county,resolved_url,title,likely_gis,reason
Alcona,https://alconacountymi.com/,Home - Welcome toAlconaCounty,no,no_keyword
Alger,https://www.alger.com/,Home |Alger,no,no_keyword
Allegan,,,no,empty
Alpena,,,no,empty
Antrim,,,no,empty
Arenac,,,no,empty
Baraga,"https://en.m.wikipedia.org/wiki/Baraga,_Michigan","Baraga, Michigan-Wikipedia",no,no_keyword
Barry,https://en.m.wikipedia.org/wiki/Barry_(TV_series),Barry (TV series) -Wikipedia,no,no_keyword
Bay,https://www.ebay.com/?msockid=230cff4609d466ce3877e8ce08d2670c,"Electronics, Cars, Fashion, Collectibles & More | eBay",no,no_keyword
Benzie,https://www.benziedesign.com/,Felt Craft Supplies Online | Online Craft Store |BenzieDesign,no,no_keyword
Berrien,https://www.berriencounty.org/,"BerrienCounty, MI | Official Website",no,no_keyword
Branch,https://my.branchapp.com/account,BranchAccount,no,no_keyword
Calhoun,https://calhoun.edu/,Home |Calhoun Community College,no,no_keyword
Cass,https://cassgram.com/,Cassgram,no,no_keyword
Charlevoix,https://www.visitcharlevoix.com/,"VisitCharlevoix, Michigan",no,no_keyword
Cheboygan,"https://en.wikipedia.org/wiki/Cheboygan,_Michigan","Cheboygan, Michigan-Wikipedia",no,no_keyword
Chippewa,https://en.wikipedia.org/wiki/Ojibwe,Ojibwe-Wikipedia,no,no_keyword
Clare,https://en.m.wikipedia.org/wiki/County_Clare,County Clare-Wikipedia,no,no_keyword
Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,Bill Clinton-Wikipedia,no,no_keyword
Crawford,https://www.crawco.com/,Home |Crawford& Company,no,no_keyword
Delta,https://www.delta.com/,Delta Air Lines- Airline Tickets and Airfare to Worldwide ...,no,no_keyword
Dickinson,https://www.dickinson.edu/,DickinsonCollege Homepage,no,no_keyword
Eaton,https://www.eaton.com/us/en-us.html,Electrical and Industrial | Power management solutions |Eaton,no,no_keyword
Emmet,https://www.emmet.io/,Emmet— the essential toolkit for web-developers,no,no_keyword
Genesee,https://www.geneseeapts.com/,"Apartments & Townhomes in Bloomington, MN |Genesee",no,no_keyword
