county,resolved_url,title
Alcona,https://alconacountymi.com/,Home - Welcome toAlconaCounty
Alger,https://www.alger.com/,Home |Alger
Allegan,https://www.xvideos.com/tags/naked-gym,naked-gym videos-XVIDEOS.COM
Alpena,https://support.microsoft.com/en-us,Microsoft Support
Antrim,https://en.wikipedia.org/wiki/County_Antrim,County Antrim-Wikipedia
Arenac,https://www.zhihu.com/question/538471868,如何评价《FLOWERS冬篇》？ - 知乎
Baraga,"https://en.m.wikipedia.org/wiki/Baraga,_Michigan","Baraga, Michigan-Wikipedia"
Barry,https://en.m.wikipedia.org/wiki/Barry_(TV_series),Barry (TV series) -Wikipedia
Bay,https://www.ebay.com/?msockid=230cff4609d466ce3877e8ce08d2670c,"Electronics, Cars, Fashion, Collectibles & More | eBay"
Benzie,https://www.benziedesign.com/,Felt Craft Supplies Online | Online Craft Store |BenzieDesign
Berrien,https://www.berriencounty.org/,"BerrienCounty, MI | Official Website"
Branch,https://my.branchapp.com/account,BranchAccount
Calhoun,https://calhoun.edu/,Home |Calhoun Community College
Cass,https://cassgram.com/,Cassgram
Charlevoix,https://www.visitcharlevoix.com/,"VisitCharlevoix, Michigan"
Cheboygan,"https://en.wikipedia.org/wiki/Cheboygan,_Michigan","Cheboygan, Michigan-Wikipedia"
Chippewa,https://en.wikipedia.org/wiki/Ojibwe,Ojibwe-Wikipedia
Clare,https://en.m.wikipedia.org/wiki/County_Clare,County Clare-Wikipedia
Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,Bill Clinton-Wikipedia
Crawford,https://www.crawco.com/,Home |Crawford& Company
Delta,https://www.delta.com/,Delta Air Lines- Airline Tickets and Airfare to Worldwide ...
Dickinson,https://www.dickinson.edu/,DickinsonCollege Homepage
Eaton,https://www.eaton.com/us/en-us.html,Electrical and Industrial | Power management solutions |Eaton
Emmet,https://www.emmet.io/,Emmet— the essential toolkit for web-developers
Genesee,https://www.geneseeapts.com/,"Apartments & Townhomes in Bloomington, MN |Genesee"
Gladwin,https://www.gladwinmachinery.com/,Home |GladwinMachinery
Gogebic,https://www.fitbit.com/login,Fitbit Accounts
Grand Traverse,https://www.grandhotel.com/,"Welcome toGrandHotel | Mackinac Island,Michigan"
Gratiot,https://www.gratiotmi.com/,"GratiotCounty, MI | Official Website"
Hillsdale,https://www.hillsdale.edu/,Hillsdale College- Developing Minds. Improving Hearts.
Houghton,https://www.cityofhoughton.com/,Welcome to the City ofHoughtonHome Page
Huron,https://www.huronconsultinggroup.com/,"Huron| Global Consulting for Healthcare, Education, Digital & More"
Ingham,https://support.microsoft.com/en-us,Microsoft Support
Ionia,https://en.m.wikipedia.org/wiki/Ionia,Ionia-Wikipedia
Iosco,https://www.iosco.org/,IOSCO
Iron,https://en.wikipedia.org/wiki/Iron,Iron-Wikipedia
Isabella,https://en.wikipedia.org/wiki/Isabella_(given_name),Isabella (given name) -Wikipedia
Jackson,https://www.jackson.com/login/login.xhtml,Login - Sign In |Jackson
Kalamazoo,"https://en.m.wikipedia.org/wiki/Kalamazoo,_Michigan","Kalamazoo, Michigan-Wikipedia"
Kalkaska,"https://en.wikipedia.org/wiki/Kalkaska,_Michigan","Kalkaska, Michigan-Wikipedia"
Kent,https://kent.ca/en/,KentBuilding Supplies
Keweenaw,https://www.visitkeweenaw.com/,"KeweenawMichigan, Lodging, Activities, Events - VisitKeweenaw"
Lake,https://www.maine.gov/ifw/fishing-boating/fishing/lake-survey-maps/index.html,LakeSurvey Maps: Fishing Resources: Fishing: Fishing & Boating ... -Maine
Lapeer,https://www.ci.lapeer.mi.us/,"Welcome toLapeer, MI"
Leelanau,https://www.leelanau.gov/,LeelanauCounty
Lenawee,https://www.lenawee.mi.us/,"LenaweeCounty, MI | Official Website"
Livingston,https://www.livingstonintl.com/,LivingstonInternational | Customs Clearance | Trade Consulting ...
Luce,https://pizzaluce.com/,Minnesota's Best Pizza - PizzaLuce
Mackinac,https://www.mackinacisland.org/,"MackinacIsland Tourism Bureau - UniqueMackinacIsland, MI ..."
Macomb,https://www.macomb.edu/,Macomb Community College- Discover. Connect. Advance.
Manistee,https://manisteemi.gov/,"Manistee, MI - Official Website | Official Website"
Marquette,https://www.cbc.ca/news/canada/calgary/heavy-rainfall-triggers-flood-warnings-evacuation-alerts-west-of-calgary-9.7252532,Heavy rainfall triggersflood warningswest ofCalgary
Mason,https://learn.microsoft.com/en-us/answers/questions/5599627/current-scam,current scam? - Microsoft Q&A
Mecosta,https://www.mecostacounty.org/,"MecostaCounty, MI"
Menominee,https://menominee-nsn.gov/,MenomineeIndian Tribe of Wisconsin
Midland,https://www.midlandofficial.com/,Home -Midland
Missaukee,https://missaukee.org/,"Welcome toMissaukeeCounty, MI"
Monroe,https://www.monroe.com/,Monroe| PerformanceShocks & Struts
Montcalm,https://www.montcalm.edu/,Homepage |MontcalmCommunity College
Montmorency,https://www.montcounty.org/,County ofMontmorency- Home
Muskegon,https://muskegon-mi.gov/,The City ofMuskegon
