county,source_url,candidate,notes
Alcona,https://beacon.schneidercorp.com/?site=AlconaCountyMI,,blocked
Alger,https://www.countyoffice.org/mi-alger-county-gis-maps/,,blocked
Allegan,https://gis.allegancounty.org/portal/apps/webappviewer/index.html?id=1df7bb10376c4aa58236914ac0680650,https://services.arcgisonline.com/arcgis/rest/services/Elevation/World_Hillshade/MapServer/0,found
Alpena,https://alpenacounty.org/240/Equalization-Office,,none
Antrim,https://antrimcounty.maps.arcgis.com/apps/webappviewer/index.html?id=45d02244ef1b4e67ac47a4cd348d88b8,https://services.arcgisonline.com/arcgis/rest/services/Elevation/World_Hillshade/MapServer/0,found
Arenac,https://experience.arcgis.com/experience/5789212c1fb946ebb83ca42b4478f5b8,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/0,found
Baraga,https://www.countyoffice.org/mi-baraga-county-gis-maps/,,blocked
Barry,https://www.barrycounty.org/property_search/index.php,,none
Bay,https://www.baycountymi.gov/departments/geographic_information_systems_(gis)/index.php,,blocked
Benzie,https://www.benzieco.gov/government/equalization/index.php,,none
Berrien,https://gis.berriencountymi.gov/portal/home/,,none
Branch,https://branchcounty.gov/departments/equalization/gis-map-viewer/,,blocked
Calhoun,https://maps.calhouncountymi.gov/,,blocked
Cass,https://www.casscountymi.org/1345/Geographic-Information-Systems,,none
Charlevoix,https://www.charlevoixcounty.org/online_services/index.php,,none
Cheboygan,https://www.cheboygancounty.net/departments-services/equalization/gis/,,none
Chippewa,https://www.chippewacountymi.gov/,,none
Clare,https://app.fetchgis.com/?currentMap=clare,https://services.arcgisonline.com/arcgis/rest/services/World_Street_Map/MapServer/0,found
Clinton,https://www.clinton-county.org/238/Online-Mapping,,none
Crawford,https://www.crawfordco.org/online-services/,,none
Delta,https://cuppad.org/mapping-gis/,,none
Dickinson,https://www.dickinsoncountymi.gov/government/county_departments/equalization.php,,none
Eaton,https://ecgis.maps.arcgis.com/home/index.html,,none
Emmet,https://www.emmetcounty.org/departments/gis/index.php,https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/0,found
Genesee,https://www.geneseecountymi.gov/departments/gis/index.php,,none
Gladwin,https://app.fetchgis.com/?currentMap=gladwin,https://services.arcgisonline.com/arcgis/rest/services/World_Street_Map/MapServer/0,found
Gogebic,https://www.gogebic.gov/government/county_offices/gis_map_system.php,,none
Grand Traverse,https://www.gtcountymi.gov/551/Parcel-Information,,none
Gratiot,https://www.gratiotmi.com/437/Geographic-Information-Services-GIS,,blocked
Hillsdale,https://hillsdalecounty.gov/index.php/tm-gov/tsm-gov-eq-land/gis-online-maps,,none
Houghton,https://houghtoncounty.maps.arcgis.com/apps/mapviewer/index.html,https://services.arcgisonline.com/arcgis/rest/services/Elevation/World_Hillshade/MapServer/0,found
Huron,https://www.co.huron.mi.us/gis,,none
Ingham,https://app.fetchgis.com/?currentMap=Ingham,,blocked
Ionia,https://ioniacounty.maps.arcgis.com/apps/webappviewer/index.html?id=5580408d1a1145cebb561641a5c9895c,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/0,found
Iosco,https://iosco.net/online-services/,,none
Iron,https://irongis.maps.arcgis.com/home/index.html,,none
Isabella,https://www.isabellacounty.org/departments/community-development/gis-mapping/interactive-gis-map/,,none
Jackson,https://gis.mijackson.org/TaxViewer/,https://gis.mijackson.org/countygis/rest/services/ParcelViewer/Annotations/MapServer/1,found
Kalamazoo,https://www.kalcounty.gov/planning/gis.htm,,none
Kalkaska,https://www.kalkaskacounty.net/departments/equalization/index.php,,none
Kent,https://gis.kentcountymi.gov/public/publicviewerjs/,,none
Keweenaw,https://keweenawcountyonline.org/department-equal.php,,none
Lake,https://lakecounty-mi.maps.arcgis.com/apps/webappviewer/index.html?id=afaee30ca6e542c0876f9996d9d72452,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/0,found
Lapeer,https://lapeercountymi.gov/departments/treasurer/mapping_information/index.php,,none
